CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR
11-0-010270,-3.4875295,68.5349,-3.4874961,68.53493,2.3575497,0.029391412,2.3813818,2.3270817,0.21232973,1.023334,40.894787,0.000169234,0.000164539,0.022550223,0.024558462,21.723915,0.06376728,0.014509781,1.0,16.0,,,,,,,,,,,,,
03-1-018701,-30.985662,189.29602,-30.98567,189.29599,1.1266191,0.028820936,1.1499887,1.0917428,0.31421763,1.0533512,73.5305,0.000359308,0.000460422,0.05548192,0.05823053,41.45562,0.20628767,0.075757116,1.0,8.0,,,,,,,,,,,,,
10-4-024772,14.134696,39.750095,14.134704,39.750122,1.1012301,0.029795911,1.1397817,1.0585184,0.37082508,1.0767708,24.187073,0.000149482,0.000151853,0.02067699,0.020369196,13.37871,0.06151021,0.02847647,1.0,13.0,,,,,,,,,,,,,
11-1-009779,-22.319115,79.93218,-22.319063,79.93214,1.2104912,0.024278983,1.2317216,1.1795654,0.2879152,1.0442164,93.87654,0.000242251,0.000281926,0.033600364,0.03841199,32.81377,0.13531475,0.04435895,1.0,9.0,,,,,,,,,,,,,
10-1-002888,35.60084,45.115536,35.60072,45.115585,1.5500891,0.070258245,1.7550721,1.3474807,0.64073306,1.302484,69.866455,0.000303386,0.000339771,0.04531835,0.038613476,4.7337127,0.035486784,0.05024132,1.0,11.0,,,,,,,,,,,,,
14-1-011417,5.5573754,136.96712,5.557292,136.96718,1.5288886,0.07321305,1.6151766,1.4382229,0.45509452,1.1230364,179.95227,0.000514866,0.000602283,0.08763953,0.07285144,21.042421,0.12932572,0.08336197,1.0,10.0,,,,,,,,,,,,,
06-4-022342,11.744025,300.24606,11.744054,300.24606,1.0003233,0.022237396,1.0482696,0.94738716,0.42803338,1.1064849,57.90999,0.000105316,0.000102869,0.015032991,0.014854838,6.9751167,0.04054776,0.023511533,1.0,12.0,,,,,,,,,,,,,
10-1-008883,12.258969,74.097275,12.259049,74.09724,2.471766,0.0736413,2.508557,2.4164455,0.26849502,1.0381186,117.37228,0.00036654,0.000377933,0.049639072,0.05394456,28.135836,0.10309675,0.030968642,1.0,16.0,,,,,,,,,,,,,
07-1-020354,-30.408894,312.82526,-30.408869,312.82526,1.8926787,0.07367015,1.9104211,1.8700953,0.20438014,1.0215635,20.231121,0.000361973,0.000470179,0.059123464,0.04816314,66.73649,0.18876864,0.041130573,1.0,14.0,,,,,,,,,,,,,
15-1-023094,-21.768114,124.35583,-21.76816,124.35603,28.122896,0.679839,28.873234,27.271109,0.32847765,1.0587481,112.66229,0.001006758,0.001005064,0.13975836,0.13428032,4.25438,0.018752173,0.007310302,0.93855286,168.0,,Rd,,,,CpxFF,,Slump Deposits / Floor Deposits / Landslide Deposits,,,2,2,1
01-1-000816,62.116695,183.75691,62.11668,183.75697,3.1330016,0.042413328,3.1941757,3.0725276,0.27334636,1.0395921,93.114876,0.000135275,0.000270912,0.019818598,0.018420126,7.233087,0.029205134,0.008969362,1.0,41.0,,,,,,,,,,,,,
11-2-002578,-13.569554,62.72757,-13.569512,62.7276,1.1270497,0.022484427,1.1524886,1.094115,0.3142206,1.0533524,52.230938,0.000197779,0.000189255,0.026449902,0.028597092,22.453766,0.09976697,0.036638897,1.0,8.0,,,,,,,,,,,,,
03-1-021482,-33.173885,238.78426,-33.17385,238.78429,2.1904228,0.08423588,2.352631,2.0302546,0.50525177,1.1587862,150.66098,0.000320232,0.000456296,0.05558983,0.047975916,7.1224647,0.049255833,0.038723573,1.0,16.0,,,,,,,,,,,,,
03-1-006886,-15.883661,204.10654,-15.883714,204.10655,3.3806102,0.07363797,3.5041506,3.2570336,0.36887574,1.0758718,48.77053,0.000280434,0.000308353,0.044492245,0.04001106,7.758264,0.041377276,0.01900744,1.0,22.0,,Rd,,,,Smp,,,,,3,2,3
15-1-016077,-15.239198,106.73685,-15.239147,106.736885,1.353194,0.076604754,1.379423,1.2650013,0.39876974,1.0904518,47.08591,0.000627295,0.000632411,0.092975646,0.07966859,35.205227,0.19454208,0.10059008,1.0,18.0,,,,,,,,,,,,,
06-1-010393,16.908419,315.8861,16.908419,315.88605,1.7844979,0.04503095,1.798218,1.7594063,0.20664217,1.0220596,123.35536,0.000327062,0.000345344,0.04545572,0.04952012,56.917168,0.17525722,0.03866548,1.0,12.0,,,,,,,,,,,,,
09-4-009115,49.355988,77.65155,49.35596,77.651596,1.0999581,0.021914173,1.1393471,1.0541105,0.37950835,1.0808611,81.28969,0.000138084,0.000209793,0.019923477,0.019933002,10.909583,0.05809191,0.027838549,1.0,15.0,,,,,,,,,,,,,
16-1-001873,-47.71099,143.6168,-47.71091,143.61671,1.2337714,0.0553305,1.3420342,1.10953,0.562566,1.2095519,111.04725,0.000214773,0.000303556,0.030974131,0.029129978,6.1829123,0.042472597,0.042282037,1.0,18.0,,,,,,,,,,,,,
