CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR
07-0-002189,-25.79349897,332.9794298,-25.79331691,332.9795135,10.87529389,0.295488755,11.19830399,10.49725133,0.348263895,1.066784403,52.36471944,0.000615366,0.000733456,0.092096698,0.090309858,6.27564317,0.03002958,0.012696607,0.92230761,67,,,,,,CpxFF,,,,,2,1,2
04-1-008694,-61.14203907,264.4337634,-61.14036691,264.4159247,25.92227452,0.789579705,26.71540577,23.6860115,0.462527437,1.127898033,71.91869133,0.000815308,0.002871361,0.117787251,0.215007549,2.140349326,0.01715056,0.011382177,0.77364749,184,,,,,,CpxFF,,Floor Deposits,,,2,1,2
15-3-000021,-9.583550999,129.20075,-9.592983701,129.2048119,66.81466174,1.614508764,69.69763325,65.17356505,0.354410148,1.069415693,105.2440532,0.00305898,0.002742576,0.464203256,0.233054601,3.531572716,0.018650631,0.008084242,0.72176313,256,,,,,,CpxUnc,Gullies,Floor Deposits / Channels / Dunes,,,2,1,1
08-1-001103,-45.99249642,290.5235975,-45.99272531,290.5233801,14.15590585,0.468781493,14.94090269,13.26773224,0.459816224,1.126108246,83.78129734,0.000671985,0.00092796,0.094759544,0.09245542,2.740972815,0.016159293,0.010610774,1,106,,Rd,,,There may be a cohesive lobe within the Rd ejecta.,CpxFF,Terraced,Slump Deposits / Floor Deposits,,,2,2,2
16-1-005003,-53.04962437,123.1400317,-53.04967969,123.1400803,13.12829056,0.311614066,13.79760055,12.33072808,0.448692103,1.118960734,71.56532488,0.00033458,0.00057934,0.048478747,0.050649354,1.581445196,0.009621477,0.006048319,1,105,,,,,,CpxFF,,Floor Deposits / Slump Deposits,,,1,1,1
03-1-021519,-33.86897292,235.5901649,-33.86898624,235.590398,14.07322885,0.3303023,14.31470846,13.76585092,0.274252244,1.039870949,75.58075001,0.000578177,0.000713626,0.084276614,0.086568834,7.170937561,0.029048191,0.008957929,1,93,3,Rd/MLERS,HuBL,,,CpxSuPt,Terraced,,,,3,2,3
07-1-005056,-6.275894373,297.1534243,-6.276007109,297.1533917,14.91995802,0.262908683,15.23357416,14.59622294,0.286228416,1.043665489,150.1480872,0.000471894,0.000489403,0.071764058,0.067812382,5.070064866,0.021222055,0.006905325,1,88,2,DLERS,HuSL,,,CpxCPt,Terraced,,,,2,2,3
15-1-037140,-34.61631279,146.4838231,-34.61650241,146.4837524,16.31300488,0.279904215,17.0565354,15.52560475,0.414072837,1.098606828,82.39571611,0.000381981,0.000449238,0.054984948,0.053554958,1.67554571,0.009447195,0.005186883,0.96426684,105,,,,,,CpxFF,Terraced,Tectonics / Slump Deposits / Floor Deposits,,,1,1,1
15-1-044182,-43.68112102,102.9306222,-43.68113733,102.9301345,39.5743239,0.625405935,40.85383325,38.16783107,0.356609948,1.070373456,110.7680223,0.000510022,0.000718012,0.073726599,0.074522241,1.315345842,0.006507487,0.002845855,1,280,,Rd,,,,CpxFF,Gullies,Slump Deposits / Floor Deposits,,,2,2,1
06-0-000000,34.7229812,350.6400744,34.72309567,350.6399288,12.13934174,0.259220193,12.56728963,11.65088289,0.374863536,1.078655562,115.1810814,0.000447832,0.000564967,0.065974164,0.06642883,3.383030424,0.017769732,0.008359926,1,81,,,,,,CpxFF,Gullies,,,,2,1,1
15-1-026668,-24.69249202,162.2057954,-24.69298653,162.2028906,18.76953978,0.24124564,19.04385889,18.12943199,0.306150551,1.050438806,111.5201252,0.000415465,0.000772584,0.059333151,0.104890133,3.576752815,0.01945213,0.006902628,0.78424156,91,,,,,,CpxFF,,Slump Deposits / Floor Deposits,,,1,1,1
15-1-011666,-12.74494013,178.6387951,-12.74080708,178.6585709,39.74710388,0.755051154,40.59636294,36.20947704,0.452155861,1.121152976,94.87317325,0.001292485,0.002313466,0.138478731,0.327399815,2.119700102,0.017003292,0.010834673,0.7271015,163,,,,,,CpxFF,Terraced,Slump Deposits / Floor Deposits,,,2,1,1
14-1-004538,25.49642032,179.4072349,25.49631416,179.4071473,14.5970118,0.295220183,15.25202237,13.90407923,0.411029583,1.096945876,83.53154556,0.000385551,0.000410842,0.054840787,0.053515426,1.941711855,0.010649535,0.005777758,1,87,1,SLEPd,HuAm,,,CpxFF,Terraced,Slump Deposits,,,3,2,3
15-1-020505,-19.39852695,151.9840979,-19.40436596,151.989694,14.51880231,0.32659502,16.23465619,13.76950675,0.529747954,1.179029611,134.9537484,0.002114009,0.000977616,0.251178291,0.104875371,3.062913366,0.023417537,0.020332213,0.71299314,59,,,,,,CpxFF,,Floor Deposits,,,1,1,1
